RespondentID,Race,Gender,Age,EducationLevel,EmployementType,PostalCode,Experience,JobTitle,SeniorityLevel,Salary,PromotionStatus,BonusStatus,Industry,EmployeeCount,JobPerformance,IsCompensation,IsGrowth,IsFairness,IsBenefits,IsGrowthOpportunities
11476709394,Black/African American,Male,35-44,Some College,Full Time Employee,35022,One to five years,General warehouse associate,Entry level,"$40,000 to $49,999",Yes,Yes,Retail & Consumer Durables,"1,000 to 10,000 Employees",Somewhat disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat agree
11476538825,White,Male,35-44,Associate's Degree,Full Time Employee,35079,Less than one year,Resident Assistant,Entry level,"$10,000 to $19,999",No,Yes,Nonprofit,50 to 250 Employees,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11476195152,Black/African American,Male,35-44,Some High School,Full Time Employee,35235,Ten years or more,Pitman,Senior level,"$30,000 to $39,999",Yes,No,Food & Beverages,50 to 250 Employees,Somewhat disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat disagree
11476130971,White,Female,25-34,Bachelor's Degree,Full Time Employee,35203,Less than one year,Business Intelligence Supervisor,Mid level,Prefer not to answer,Yes,Yes,Healthcare & Pharmaceuticals,"250 to 1,000 Employees",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
11476109878,Black/African American,Female,45-54,Bachelor's Degree,Full Time Employee,35203,Five to ten years,CFO,"C Suite (CEO, CFO, COO, CTO, CSO)","$60,000 to $69,999",Yes,Yes,Nonprofit,Less than 50 Employees,Agree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Agree
11476055227,Hispanic/Latino,Female,25-34,Bachelor's Degree,Full Time Employee,60606,One to five years,Forensic Accountant,Mid level,"$70,000 to $79,999",Yes,Yes,Government,"More than 10,000 Employees",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11474000078,Black/African American,Female,25-34,Master's Degree or Higher,Long Term Contract Employee,28791,One to five years,Public Relations Contractor,Mid level,"$20,000 to $29,999",No Answer,Yes,Social/Public Services,Less than 50 Employees,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree
11473826145,White,Female,25-34,Master's Degree or Higher,Full Time Employee,35216,Five to ten years,Teacher,Mid level,"$50,000 to $59,999",No,No,Education,"1,000 to 10,000 Employees",Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
11473691848,Asian,Male,35-44,Bachelor's Degree,Full Time Employee,35226,Five to ten years,Respiratory therapist,Senior level,"$50,000 to $59,999",No,Yes,Healthcare & Pharmaceuticals,"More than 10,000 Employees",Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree
11473684483,White,Male,55-64,Master's Degree or Higher,Full Time Employee,35205,Ten years or more,Surgical Assistant,Senior level,"$100,000 to $149,999",No,Yes,Healthcare & Pharmaceuticals,Less than 50 Employees,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree
11473337556,White,Female,45-54,Some College,Full Time Employee,35244,One to five years,Office manager,Senior level,"$30,000 to $39,999",No Answer,Yes,Electrical engineering,Less than 50 Employees,Strongly agree,Agree,Neither agree nor disagree,,Strongly agree,Neither agree nor disagree
11473312190,White,Female,25-34,Master's Degree or Higher,Full Time Employee,35007,One to five years,High school science teacher,Entry level,"$40,000 to $49,999",No,Yes,Education,50 to 250 Employees,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree
11473214039,White,Female,25-34,Master's Degree or Higher,Full Time Employee,35244,One to five years,Strategy Consultant,Senior level,"$80,000 to $89,999",Yes,Yes,Healthcare & Pharmaceuticals,"1,000 to 10,000 Employees",Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree
11472887040,White,Female,45-54,Master's Degree or Higher,Full Time Employee,35242,One to five years,Chief Communications Officer,"C Suite (CEO, CFO, COO, CTO, CSO)","$70,000 to $79,999",Yes,Yes,Social/Public Services,Less than 50 Employees,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11472827048,White,Male,55-64,Associate's Degree,Self Employed/Entrepreneur,32550,Less than one year,Retired,Senior level,"$150,000 or more",Yes,Yes,Healthcare & Pharmaceuticals,"1,000 to 10,000 Employees",Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
11472739335,Black/African American,Female,25-34,Master's Degree or Higher,Full Time Employee,36104,One to five years,Associate attorney,Mid level,"$70,000 to $79,999",No,Yes,,,,,,,,
11471980053,White,Female,18-24,Some College,Part Time Employee,35501,One to five years,Scribe,Entry level,"$20,000 to $29,999",No,Yes,Healthcare & Pharmaceuticals,"More than 10,000 Employees",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
11471884231,Black/African American,Female,25-34,Master's Degree or Higher,Full Time Employee,35216,Five to ten years,Mental Health Therapist,Mid level,"$40,000 to $49,999",Yes,Yes,Social/Public Services,50 to 250 Employees,Agree,Somewhat disagree,Agree,Somewhat agree,Agree,Agree
11471883878,Black and white,Female,18-24,Some College,Full Time Employee,35630,One to five years,Preschool Teacher,Entry level,"$10,000 to $19,999",No,Yes,Child Day Care Services,50 to 250 Employees,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree
11471717433,Black/African American,Female,25-34,Master's Degree or Higher,Part Time Employee,35068,One to five years,Executive Director,Staff of 1...hard to say. Senior in theory.,"$10,000 to $19,999",No,No,Social/Public Services,Less than 50 Employees,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11471683008,Multiracial/Multiethnic,Female,18-24,Bachelor's Degree,Full Time Employee,35209,Less than one year,Medical Assistant/Scribe,Entry level,"$30,000 to $39,999",Yes,Yes,Healthcare & Pharmaceuticals,"More than 10,000 Employees",Agree,Strongly agree,Strongly agree,Agree,Agree,Agree
11471671129,White,Female,25-34,High School Diploma/GED,Full Time Employee,35603,Less than one year,Pizza Hut General Manager,Mid level,"$30,000 to $39,999",Yes,Yes,Food & Beverages,"More than 10,000 Employees",Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Disagree
11471667332,White,Female,55-64,Bachelor's Degree,Temporary/Seasonal,37240,Less than one year,Admissions Evaluator,Entry level,"Less than $10,000",No,No,Education,"1,000 to 10,000 Employees",Agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree
11471664506,White,Male,35-44,Some College,Self Employed/Entrepreneur,35203,Five to ten years,CEO,"C Suite (CEO, CFO, COO, CTO, CSO)","$50,000 to $59,999",No Answer,No,Advertising & Marketing,Less than 50 Employees,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree
11471650724,White,Female,18-24,High School Diploma/GED,Full Time Employee,35242,One to five years,Administrative Coordinator,Entry level,"$20,000 to $29,999",Yes,Yes,Social/Public Services,50 to 250 Employees,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree
11471648577,Native American/Alaska Native,Female,35-44,Bachelor's Degree,Full Time Employee,35244,One to five years,Dance Educator - Department Director,Mid level,"$50,000 to $59,999",Yes,No,Education,"1,000 to 10,000 Employees",Agree,Somewhat agree,Strongly agree,Agree,Agree,Agree
11471643840,White,Female,25-34,Bachelor's Degree,Full Time Employee,98208,One to five years,Environmental Health Specialist,Mid level,"$60,000 to $69,999",Yes,No,Social/Public Services,50 to 250 Employees,Agree,Agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree
11471622327,White,Female,35-44,Master's Degree or Higher,Full Time Employee,35233,Five to ten years,Coordinator,Mid level,"$50,000 to $59,999",Yes,Yes,Healthcare & Pharmaceuticals,"1,000 to 10,000 Employees",Strongly agree,Agree,Agree,Agree,Strongly agree,Agree
11471602497,Black/African American,Female,55-64,Bachelor's Degree,Full Time Employee,35214,Ten years or more,Unit secretary,Senior level,"$40,000 to $49,999",No Answer,Yes,Healthcare & Pharmaceuticals,"1,000 to 10,000 Employees",Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree
11471595633,White,Female,45-54,High School Diploma/GED,Self Employed/Entrepreneur,35216,Ten years or more,President/CEO,"C Suite (CEO, CFO, COO, CTO, CSO)","$100,000 to $149,999",No Answer,No,Home service,Less than 50 Employees,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11471588898,White,Female,25-34,Bachelor's Degree,Full Time Employee,35244,Five to ten years,Director of International Programs,Mid level,"$20,000 to $29,999",Yes,No,Nonprofit,Less than 50 Employees,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree
11471584928,White,Female,55-64,Bachelor's Degree,Full Time Employee,35203,One to five years,Admin,Mid level,"$40,000 to $49,999",No,No,Finance & Financial Services,"1,000 to 10,000 Employees",Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Disagree
11471536258,Black/African American,Female,25-34,Bachelor's Degree,Full Time Employee,35203,One to five years,Director,Senior level,"$50,000 to $59,999",Yes,No,Nonprofit,Less than 50 Employees,Agree,Agree,Agree,Strongly agree,Strongly agree,Somewhat agree
11471430880,White,Male,45-54,Some College,Self Employed/Entrepreneur,35203,One to five years,Partner,"C Suite (CEO, CFO, COO, CTO, CSO)",Prefer not to answer,No Answer,,Information Technology and Services,Less than 50 Employees,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree
11471419094,White,Female,25-34,Bachelor's Degree,Full Time Employee,35212,One to five years,Senior SEO Coordinator,Senior level,"$40,000 to $49,999",Yes,Yes,Advertising & Marketing,50 to 250 Employees,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11471373286,White,Male,25-34,Master's Degree or Higher,Full Time Employee,98033,One to five years,Human Resources Manager,Senior level,"$100,000 to $149,999",No,Yes,Airlines & Aerospace (including Defense),50 to 250 Employees,Somewhat agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Somewhat agree
11471368788,White,Male,35-44,Master's Degree or Higher,Full Time Employee,35550,Ten years or more,Teacher,Unsure,"$70,000 to $79,999",No,No,Education,"250 to 1,000 Employees",Agree,Agree,Strongly agree,Disagree,Strongly agree,Somewhat agree
11471321903,White,Female,45-54,Master's Degree or Higher,Full Time Employee,35203,Less than one year,Director of Membership & Events,Senior level,"$40,000 to $49,999",No,No,Nonprofit,Less than 50 Employees,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11471229557,White,Male,45-54,Bachelor's Degree,Long Term Contract Employee,35244,Less than one year,Senior Software Architect,Senior level,"$100,000 to $149,999",No,No,Information Technology and Services,50 to 250 Employees,Neither agree nor disagree,Strongly agree,Somewhat disagree,Disagree,Disagree,Somewhat disagree
11471071354,Hispanic/Latino,Female,35-44,Some High School,Full Time Employee,91105,Ten years or more,Supervisor,Mid level,"$30,000 to $39,999",Yes,Yes,,,,,,,,
11470967219,Black/African American,Male,35-44,Vocational/Technical School,Full Time Employee,60148,Five to ten years,System Admimistrator,Senior level,"$80,000 to $89,999",Yes,Yes,Manufacturing,"1,000 to 10,000 Employees",Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Agree,Neither agree nor disagree
11470961293,White,Male,55-64,Master's Degree or Higher,Full Time Employee,45267,Ten years or more,Nurse anesthetist,Health care provider,"$150,000 or more",No,Yes,Healthcare & Pharmaceuticals,50 to 250 Employees,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
11470887090,White,Male,18-24,High School Diploma/GED,Full Time Employee,35210,Less than one year,Guest Service Advisor,Entry level,"$30,000 to $39,999",Yes,No,Entertainment & Leisure,"250 to 1,000 Employees",Agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
11470782849,White,Female,18-24,Bachelor's Degree,Full Time Employee,35205,One to five years,NURSE,Entry level,"$50,000 to $59,999",No,Yes,Healthcare & Pharmaceuticals,"1,000 to 10,000 Employees",Agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree
11470776164,White,Female,25-34,Bachelor's Degree,Full Time Employee,35203,One to five years,Bar Manager,Senior level,"$40,000 to $49,999",Yes,Yes,Food & Beverages,Less than 50 Employees,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
11470755683,White,Male,25-34,Some College,Full Time Employee,35243,One to five years,DevOps Manager,Senior level,"$100,000 to $149,999",Yes,Yes,"Telecommunications, Technology, Internet & Electronics","250 to 1,000 Employees",Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree
11470664642,Multiracial/Multiethnic,Male,35-44,Master's Degree or Higher,Full Time Employee,54905,One to five years,IT Architect,Senior level,"$100,000 to $149,999",No,Yes,Transportation & Delivery,"1,000 to 10,000 Employees",Agree,Agree,Agree,Agree,Agree,Agree
11470604856,White,Male,25-34,Bachelor's Degree,Full Time Employee,35294,Less than one year,Respiratory Therapist,Entry level,"$30,000 to $39,999",Yes,Yes,,,,,,,,
11470533950,Black/African American,Female,25-34,Some College,Full Time Employee,35209,One to five years,Assistant warehouse manager,Mid level,"$50,000 to $59,999",No,Yes,Business Support & Logistics,"250 to 1,000 Employees",Disagree,Somewhat agree,Strongly disagree,Strongly disagree,,
11470325370,White,Male,25-34,Bachelor's Degree,Full Time Employee,35209,Five to ten years,Portfolio Manager,Mid level,"$100,000 to $149,999",Yes,Yes,Finance & Financial Services,"1,000 to 10,000 Employees",Agree,Agree,Agree,Agree,Somewhat disagree,Agree
11470299334,White,Female,35-44,Bachelor's Degree,Full Time Employee,30319,Less than one year,BI Analyst,Mid level,"$100,000 to $149,999",No,No,Recruiting,"1,000 to 10,000 Employees",Agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Agree
